Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1784267411,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1784267412,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1784267413,20,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1784267414,30,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1784267415,40,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1784267416,50,,Aggregated,0.000000,0.000000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,5,0,2091.848800000662,2075.7046999999147,2064.2143999994005,2091.848800000662,0.0
1784267417,60,,Aggregated,0.000000,0.000000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,9,0,2091.848800000662,2074.764577777791,2064.2143999994005,2091.848800000662,0.0
1784267418,60,,Aggregated,0.000000,0.000000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,10,0,2091.848800000662,2075.216830000136,2064.2143999994005,2091.848800000662,0.0
1784267419,60,,Aggregated,0.800000,0.000000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,11,0,2091.848800000662,2074.5359727273103,2064.2143999994005,2091.848800000662,0.0
1784267420,60,,Aggregated,0.800000,0.000000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,11,0,2091.848800000662,2074.5359727273103,2064.2143999994005,2091.848800000662,0.0
1784267421,60,,Aggregated,0.800000,0.000000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,11,0,2091.848800000662,2074.5359727273103,2064.2143999994005,2091.848800000662,0.0
1784267422,60,,Aggregated,0.800000,0.000000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,11,0,2091.848800000662,2074.5359727273103,2064.2143999994005,2091.848800000662,0.0
1784267423,60,,Aggregated,0.800000,0.000000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,11,0,2091.848800000662,2074.5359727273103,2064.2143999994005,2091.848800000662,0.0
1784267424,60,,Aggregated,0.800000,0.000000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,11,0,2091.848800000662,2074.5359727273103,2064.2143999994005,2091.848800000662,0.0
1784267425,60,,Aggregated,0.800000,0.000000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,11,0,2091.848800000662,2074.5359727273103,2064.2143999994005,2091.848800000662,0.0
1784267426,60,,Aggregated,0.800000,0.000000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,11,0,2091.848800000662,2074.5359727273103,2064.2143999994005,2091.848800000662,0.0
1784267427,60,,Aggregated,1.100000,0.000000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,18,6,2091.848800000662,2071.1109500001235,2060.2631000001566,2091.848800000662,0.0
1784267428,60,,Aggregated,1.100000,0.000000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,20,8,2091.848800000662,2070.3770450000775,2060.2631000001566,2091.848800000662,0.0
1784267429,60,,Aggregated,1.100000,0.000000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,20,8,2091.848800000662,2070.3770450000775,2060.2631000001566,2091.848800000662,0.0
1784267430,60,,Aggregated,1.000000,0.800000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,21,8,2091.848800000662,2070.2142476191166,2060.2631000001566,2091.848800000662,0.0
1784267431,60,,Aggregated,1.000000,0.800000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,28,9,2091.848800000662,1995.738585714337,41.013999998540385,2091.848800000662,0.0
1784267432,60,,Aggregated,0.900000,0.800000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,38,18,2091.9341999997414,1959.4942078947497,6.76249999924039,2091.9341999997414,0.0
1784267433,60,,Aggregated,0.900000,0.800000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,39,19,2091.9341999997414,1962.4761076922882,6.76249999924039,2091.9341999997414,0.0
1784267434,60,,Aggregated,0.900000,0.800000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,39,19,2091.9341999997414,1962.4761076922882,6.76249999924039,2091.9341999997414,0.0
1784267435,60,,Aggregated,2.500000,1.700000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,41,20,2091.9341999997414,1967.5715585365585,6.76249999924039,2091.9341999997414,0.0
1784267436,60,,Aggregated,2.800000,1.900000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,43,22,2091.9341999997414,1972.4804720930013,6.76249999924039,2091.9341999997414,0.0
1784267437,60,,Aggregated,2.800000,1.900000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,44,22,2091.9341999997414,1927.7718590908742,5.3014999994047685,2091.9341999997414,0.0
1784267438,60,,Aggregated,3.100000,2.100000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,51,29,2091.9341999997414,1945.4288960783458,5.3014999994047685,2091.9341999997414,0.0
1784267439,60,,Aggregated,2.800000,1.800000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,60,38,2091.9341999997414,1893.3423599999212,2.929000000222004,2091.9341999997414,0.0
1784267440,60,,Aggregated,2.700000,1.700000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,66,44,2091.9341999997414,1752.8386166665741,2.929000000222004,2091.9341999997414,0.0
1784267441,60,,Aggregated,2.700000,1.700000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,71,49,2091.9341999997414,1746.8784309858165,2.929000000222004,2091.9341999997414,0.0
1784267442,60,,Aggregated,3.700000,2.700000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,72,49,2091.9341999997414,1722.9060736110064,2.929000000222004,2091.9341999997414,0.0
1784267443,60,,Aggregated,4.500000,3.500000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,73,50,2091.9341999997414,1699.4778356163383,2.929000000222004,2091.9341999997414,0.0
1784267444,60,,Aggregated,4.300000,4.000000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,74,51,2091.9341999997414,1676.6168486485578,2.929000000222004,2091.9341999997414,0.0
1784267445,60,,Aggregated,4.300000,4.000000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,74,51,2091.9341999997414,1676.6168486485578,2.929000000222004,2091.9341999997414,0.0
1784267446,60,,Aggregated,4.300000,4.000000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,74,51,2091.9341999997414,1676.6168486485578,2.929000000222004,2091.9341999997414,0.0
1784267447,60,,Aggregated,3.500000,3.200000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,75,52,2091.9341999997414,1654.4874573332345,2.929000000222004,2091.9341999997414,0.0
